english_text,type
Today it was decorated with the care of royal officials,sadhu
"In the second episode, Sitaram announced that Gangaram would be tried in Amdarbar",sadhu
"Now the question is, which religion do I follow?",sadhu
i am arrested,cholito
I am praying that you too pray to the Father of the Universe to destroy the enemy and save you.,sadhu
Where are you going now bro?,sadhu
"But in addition to this, I have also included the 37 marks of giving marks",sadhu
“There's no reason why I can't see you,cholito
I'm arranging,cholito
Either __ take the kids to the zoo or something like that __ then me,cholito
You go to Zaheer's room,cholito
"When revealed, the two boys lost their heads",sadhu
How long shall I delay?,sadhu
what can i say,cholito
It is my duty to train you too,sadhu
Each palm of a portion bore a mark that no one but himself could read.,sadhu
Do not find any safetypins in the house,cholito
Swami service is the only virtue of women,sadhu
Dariya picked it up and put it on the veil-_otherwise it would be rude,sadhu
I dreamed of it too,sadhu
No one was left to explain why Zayda became a homemaker.,sadhu
"Said, I want to talk to someone else again",cholito
"The ministry may not be glamorous, but it is heard",cholito
Here I went to the Moghul lake to see who could afford it,sadhu
Do not work,sadhu
I know the mystery of the world,cholito
Stay in the hands of these nobles of Orissa,sadhu
Don't get wet in the rain,cholito
Then I spoke with Mr. Morshed,cholito
Forgive me for what happened,sadhu
I can't understand for what reason - for what crime this misery happened to me,sadhu
How do you do that?,cholito
I don't like sitting next to sick people,cholito
I sat in front of the telephone for a long time,cholito
He quoted the Qur'an to prove that according to Islam he was obliged to marry first-born.,sadhu
Attacked and blocked Akbar's escape route to Ajmir,sadhu
Today is my journey At midnight I tried to see Tad again,cholito
"He put me in the rickshaw and said in a deep voice, “You please",cholito
Of course I am not telling anyone anything in the off-course or Emmy,cholito
I said yes,cholito
"Present was the mass of the nation, with its jaw-dropping wife.",sadhu
It will not be right to faint,cholito
Cold I didn't feel it,cholito
"You are my worthy buffalo, I can't leave you easily",sadhu
"I went to sit next to the driver, Mrs. Isher Did with him",cholito
I didn't have to leave the telephone,cholito
"Nevertheless, he said, ""But go to the horn.""",sadhu
"Say if you like, don't be shy",cholito
Be yourself,cholito
"“No, there is no news",cholito
I am,cholito
Zayda is like a prisoner of her husband,sadhu
Come up with us,sadhu
"Your life, too, will be saved--but do not be swayed by the wrath of the Great One against Icha.",sadhu
"Well, what is this about dancing again?",sadhu
Where is his place?,sadhu
I'm listening to new music.,cholito
"After all, what is certain cannot be ruled out as no.",sadhu
Cars behind will then try to reverse towards,cholito
Express your feelings without fear.,sadhu
"Something that needs to be kept in someone else's name, something that needs cash,",cholito
I want to read new books.,cholito
"""Father has no cereal",cholito
Take care of yourself.,cholito
I thought Majid would get a shock after seeing Rupa Nothing like that,cholito
"We do not keep the price of things high, we use rhythm with customers",cholito
"Yes, I beg you",sadhu
This dream is not good,cholito
Saying that we memorized reading with more attention in English from the beginning,sadhu
"What will happen with education, you have not opened the school anymore",cholito
"After thinking for a while, he said, ""Dev",sadhu
are you sick,cholito
I have also searched your house,sadhu
"In fact, I take the tension",cholito
He came without saying anything,cholito
"I said to the girl of Eklemur Mia, I will ride this car",cholito
No one comes to him,cholito
You are spending without doing anything,cholito
"প্রেম ঘে চুপে চুপে স্কুটিতে চাহে রূপে, মনেরই কালোকৃপে থেকে যায়",sadhu
Thier Sachchodar's greeting and skillful inquiry of the path,sadhu
"Yesterday evening Chanchal washed off the paint that had been given on this Amrakanan by a storm of mud, and started to paint it again.",sadhu
Who brought them to you?,sadhu
The statement is what the patient said to the doctor without regaining consciousness,cholito
Can't recognize me - now he is in this mood,cholito
"He who likes it wins, the victory of the flower is its own appearance",sadhu
""" Jeenhapan, what's wrong with the maid",sadhu
"Then he called the soldiers together and said - ""Brother friend, whoever you are with, today I apologize to you in a simple way.",sadhu
You got that paper,sadhu
"He asked to open a file,",cholito
"Chitia decided that a knife should be put on the throat, then all the sins will be washed away, the fear of the Muslim will also be washed away, but what will happen to the son?",sadhu
Sitting alone in a house preparing for priestly ordination,sadhu
"Two hundred and twenty floods have taken away, what will the boy eat for a year?",sadhu
I call Maria's mother aunt,cholito
"After seeing his son's Eid-like condition, Mabiya became sad and worried",sadhu
"Give, then there is no end to our love and satisfaction",sadhu
"At the very first knocking, Schlemma from inside-",cholito
Many people come and don't even call their father,cholito
"No, this girl did the same by translating from Bengali to English in her mind",cholito
i am happy for you,cholito
"After reaching the sea, the granddaughter was attacked by the enemy.",sadhu
"Kased began to say, ""I have grown old doing this work for God's sake, I will say exactly what you say.""",sadhu
"""Jai Maharanikki 1"" Rama got courage from outside the audience.",sadhu
"The special thing is, that evening they really had a shipwreck of",cholito
” I smiled again like before,cholito
"Bharateshwar Gurangajaiva also felt it, so he judged",sadhu
“Your home seems far away,cholito
Why guess 1__What have I done,sadhu
I would have replied if I knew The answer is not known,cholito
"If your uncle can't talk, then if you hear someone talking about it",cholito
Could not say before that,cholito
Ask me rather that I want re,sadhu
"There is a pain in the head, you will earn money",cholito
"Maymuna is busy listening to Karna's amount of money, why will he listen to Baran",sadhu
Final talk with,cholito
Has anything happened to the job?,cholito
The next news is that I have not received any letters from you for a long time,cholito
"As soon as I sat down, the coffee arrived.",cholito
"Baba Himalaya, you must have some time in your life",cholito
Tell me what you lack,sadhu
"Zayda started to secretly find out who is staying near Hassan, who is going, who is coming, who is doing what.",sadhu
The beauty of nature brings peace to the heart.,sadhu
Badal is doing that,cholito
"met many people of the town, and at last Sitaram returned home and sent your family with a relative to Madhumatipara.",sadhu
People will control sleep,cholito
"If you do not understand, I will not go with you",sadhu
I was,cholito
Someone will know about you,cholito
I went to see Mr. Khalu,cholito
Is everyone more creative?,cholito
I did not send the letter,cholito
O infinite Bnmandesvara,sadhu
I am at Joydevpur for your call,cholito
I probably shouldn't eat anymore,cholito
"As he who has once tasted human flesh, cannot give up the temptation, he repeatedly regurgitates it again and again.",sadhu
Murla took Gangaram and entered the inner city,sadhu
"I said above, Aunt Majeda",cholito
Hasan said goodbye to everyone one by one,sadhu
Nekhkan was found somewhere,sadhu
What a comedy routine-dance Ogo Koutukamantri,sadhu
Looks like some big trouble is waiting for me,cholito
"Aunt, you are rather a relative",cholito
I can clearly write that Zainab will be yours and adorn your figure,sadhu
“I guessed,cholito
I will see that,cholito
He can also win big wishes,cholito
You are very happy in everything,sadhu
"Then Bubilam Bey, destruction has happened",sadhu
"After passing the day and night, after one hour he came to the bowl like half dead",sadhu
"As a result, fifty-one or fifty-seven problems arise due to confusion",cholito
Meikhane Rama's son Adil,sadhu
Meet the king's priest there,sadhu
Today was a very happy day.,cholito
"Many of my soldiers betrayed and joined Hasan's side, and attacked and defeated the remnants of Damascus in battle.",sadhu
Shahjadi is not a princess,sadhu
"Because as 411820, Pari's character has not been revealed",sadhu
Most of them are part IV of this Toyankar Ran; Chapter IV: Jayashila,sadhu
"If I say what I have to say today, I will be as dumb as the next born.",sadhu
"Jaisingh of Jaipur--Dhahar was a mainstay of the Moghul Saarazo, who died at once by poisoning at the hands of the treacherous ally Aurangzeb.",sadhu
"But Nirmal could not be tricked, he understood every word he meant, and gave false answers to all necessary words.",sadhu
Maymuna remained silent and sat on the bed,sadhu
Accepted the logic and came out with a smile in my new Punjabi - without eating since then,cholito
Never truthful and atones for one's own sins by juggling others,sadhu
I pushed the door and entered the house,cholito
The corpse could not be separated without that amazing fraternal bond,sadhu
Then I won't get it,cholito
What is his name?,cholito
"But all that truth is sometimes quite useless to me, as though it does not exist for me: as if",sadhu
"I said, if he does not come, I will go to him",cholito
Legs are regular women's legs,cholito
The latter must be weakened,sadhu
"On the left side of the surface there is a tree hanging, I saw it and hid it behind the mountain",sadhu
"If Zayeda had not been Hassan's lover, if Zayeda had not been enslaved by Sapatri's jealousy, would Zayeda have sat on the balance of wealth and happiness on one side, and her husband's love and life on the other side, relying on judgment and punishment?",sadhu
Rectangle eyes; Quiet turns--Ape males rarely get in the way of females,sadhu
"Even if the Muslims came and killed everyone at that time, Sitaram survived",sadhu
You did the job of keeping Zaheer in the hole.,cholito
"Misir Ali said in a calm voice, 'This man then pulled your pajama",cholito
I go Shlamalikum,cholito
I want to see if it will exceed the imagination my,cholito
"By looking at his face, the weapon was still in his hand",sadhu
I gave it to you Meera,cholito
I noticed most people didn't want to let me in the house,cholito
And we are forever,sadhu
No one knows what Hasan-Hossain has,sadhu
did not go,cholito
"When the love-like ocean swells in the heart's space with the attraction of Manas-Chandra, then there is no proper knowledge.",sadhu
Deer roams fearlessly deep in the forest.,sadhu
My name is Himu,cholito
I am standing right in the middle of the road,cholito
I took him i will come,sadhu
"As the river water flows above the danger level, the risk of flooding is increasing.",cholito
I saw someone who could bind such a great power,sadhu
"Happy said in a happy voice,",cholito
I didn't say right,cholito
"Mr. OC said, gamer",cholito
"He said in a low voice, the height is a little less",cholito
"If you get the chance, now is the time",sadhu
"Gone, 92 Rajasingha saw that he had no other choice",sadhu
Knows that they grow impatient with the people below,sadhu
“Father wants to meet you,cholito
"Now word of mouth is snarling on different sides, this sting-_-is the cause of disorder, disorder and weakness.",sadhu
"However, Alid and Marwan, despite their hard work and efforts, could not stand up to the nimble sword of Muslim.",sadhu
"A few of us surreptitiously watched him from a distance, searching for poisonous arrows, surely someone's arrow would pierce Akbar's chest.",sadhu
” Ri then went to the moon,sadhu
I took out a cigarette from under the pillow,cholito
"In fact, Le Magh began to feel the sensation of the flesh.",sadhu
The audience started clapping and cheering,sadhu
What will Mr. Asadullah see me after so long?,cholito
Zayda is worried and preoccupied with her own thoughts,sadhu
If not,cholito
I am sending you in charge of the army to Madinah to kill Hasan-Husain.,sadhu
I do not listen to religious words from the mouth of women,sadhu
"In that situation, I came up and slapped him on the cheek",cholito
"Madam, my name is Hesu",cholito
Now you say Hariken in this house,cholito
Kibanji's Charshamrit's Jant,sadhu
There is no fear of going under the siege of special king Madandeva,sadhu
Say whether or not,cholito
“I am a neurologist,cholito
The question comes to mind for a good reason - why are the doors of his house so shiny?,cholito
"Before I retire from this world, I will one day see the eternal human being radiant with the light of that one soul.",sadhu
"Fulfulia said in a dark tone, Himu Bhaijan you will not be present in our wedding",cholito
We also do not want to deprive the work of the relationship of love,sadhu
"If you call it self-rule, what is it?",sadhu
"I testify before him, Ishtadev, I am not an unbeliever",sadhu
A Maulana Ross,cholito
I sat down,cholito
Should have been Kalachaitra storm,cholito
"After reciting the end of the poem, many worship the idol",sadhu
-Who do you consider to be your worst enemy?,sadhu
And for what I know I was completely convinced,cholito
When she understands that I am not trying hard to subjugate her--I have devoted myself to her welfare--then she will see that I am prone to be mean to people--then she will understand that by the mantra 'Bande Matram' we are worshiping the Mother to whom all the small and great of the country belong.,sadhu
From there I went to Natakpara Bailey,cholito
I said __-talked to Esha,cholito
"Toward the parked car on the other side 1 I heard him say, ""I didn't tell you.""",cholito
"Lukhof-unrina was shocked, not expecting to accept such a grudge.",sadhu
"* There is no unity of method in matters without this concept, the severity of the need goes away, the harmony between the purpose and the means does not take place, a. It is the sheer adventure that excites people's imaginations",sadhu
“I have found the paradise of my imagination while still alive,cholito
No one will tell you anything else,sadhu
don't do,cholito
Grandmother He wants to give you this money,cholito
your little girl,cholito
He saw that the Rajput army lined up on both sides.,sadhu
The locks will be unlocked by evening,cholito
Mubarak distorted the incident,sadhu
A terrible danger awaits you,cholito
I will never be able to,cholito
Can add a chui but then go crazy if you see four in the fruit room,sadhu
That is good for me,sadhu
In the evening I noticed that I was restless with anxiety,cholito
I am taking your Khaloo to Bombay,cholito
"Khalui fish, each one and a half bigh size Little comes to this house again",cholito
But does not want to return home,cholito
It has been since he married a friend,cholito
I asked what nature means like that,cholito
This is because all countries give roots,sadhu
Why talk about very common things in a special way,sadhu
That is why the respect that I received from you today is called so chaluv,sadhu
"Ustadji's body was as bad as I thought, but it turned out to be worse than that",cholito
Navkunar could not believe that this woman is Bhattahar's wife,sadhu
buy shoes,cholito
I am sitting in the dark,cholito
I can go to your house after dinner,cholito
Therefore all those efforts will not succeed,sadhu
I am so comfortable,cholito
Gave it - then I studied in class four,cholito
Just then the heavy rain started,cholito
"If you say so much, please let me know. If you do it, then I will be especially benefited”: The man replied, “I will marry you, but I can send you through the gate 1” A: 4 Nirl",sadhu
We are brothers 1 my younger,cholito
Your companionship is a great support in my life.,cholito
Will take them to Zooey in a moment,cholito
Tulite puja flowers used to go when Mei Path Chhaya-Kara,sadhu
The light of education should spread everywhere.,sadhu
A short walk from the road,sadhu
"Turn this thought back to the good side, what will you see?",sadhu
"Amod kar] In the pretense of work, Pekham Tuli Gagan-pane stti mata apan mane-__ apan gaurbe",sadhu
"Well, I'll give her a seal---You kiss the girl",sadhu
Daughter with peacock dance,cholito
"I will not keep it in the hospital, I will take it home",cholito
He was eager to get Sheeha out of the bedroom,sadhu
Serdinkan's long streak of infamy was over,sadhu
"Fupu said in an annoyed voice, looking at your expression, it seems that he came down from the sky",cholito
"The answer is the punch line, but nothing asks what Ranu OF is listening to",cholito
You are so big,sadhu
"He said in my ear, what is the rule",cholito
Ustad Mana Mia is in my hands,cholito
"I said, ""Is there no rice?""",cholito
"The grief of a daughter's divorce cannot be handled, a son's divorce",cholito
"I said, take off your shirt and follow",cholito
“Bhbi-no,cholito
"Zaheer said, burn the shut-pants with fire",cholito
May be the hope of your life is very narrow,sadhu
It is not a rule of duty to make it burdensome later,sadhu
"He has made his birth worthwhile, and has made him hate himself by writing the name of the one who drank poison for the protection of his religion.",sadhu
The writer of that time,sadhu
I was really surprised,cholito
I desperately try to wiggle my toes,cholito
"""The body does not feel good",cholito
"Thus, he looked and saw Ale in this silent forest",sadhu
Will I wander on the road for the rest of my life?,cholito
"Among the many powers of laughter, one power is-_ Laughter overcomes fear",cholito
"""He did not say again that this time the marriage will break up",cholito
The family does not go by the words of brothers,cholito
See with my own eyes If you want to show you too,cholito
"I leaned a little towards Mr. Ali and said, ""I am, sir.""",cholito
He was awake today,cholito
At first it seemed like ten years - now it seems like twenty what is the matter,cholito
Just thinking about those insects moving on the walls made me feel chills.,sadhu
Pratihari offered to the king that Shreikanya has come,sadhu
Isul is running away,sadhu
"How many shadows are floating in the eyes, how many dreams are floating in the air",sadhu
"Broad chest, become a shadow",sadhu
"After doing the necessary work there, do cold pratyagamana",sadhu
Yet we do,cholito
We finished seven albums until four in the morning,cholito
"He is eating rice, he doesn't want any more food than that, so Zaheer has to eat that too",cholito
"After a long time only said, “It is all the fault of my forehead",sadhu
"Gradually, as this divisive side continues to grow, the Hindu society will fall into the seventies.",sadhu
Pran was conversing with Subak,sadhu
It was a great sadness that I could not hear Zainab's constant crying while staying here,sadhu
The sky looks very beautiful tonight.,cholito
But the nurse looks beautiful,cholito
You don't find the coincidence interesting,cholito
Say something without understanding,cholito
"Zainab's happy dreams will be broken today, the covering of Zainab's body will be removed from the body today, I accepted everything in that hope.",sadhu
Ugh you hurt so much__I can't resist saying anything,cholito
Phupa was sitting on the bed,cholito
Aunt Reshma widened her eyes and said -,cholito
Can't handle it,sadhu
You can't get a gentleman on a night train by breaking it,cholito
"If you don't want to take me, don't take me",cholito
Who wants to die in the hair,sadhu
"Mr. OC said in an annoyed face, what are the types of love of the police and what-_",cholito
Now you do one thing please-_ price of dog,cholito
"No, no problem",cholito
"If you tell me what I want, you might think I'm crazy",cholito
I appointed men to guard you in the prison where I got the permission of Anandaswamy,sadhu
"He immediately said in a normal voice, ""What do you mean?""",cholito
We have come to say that we have pain in our hearts,sadhu
"Although the cost of the mess I give very regularly, and sometimes",cholito
I was wishing in shame...”,cholito
I have the key,cholito
Hossain cried at the loss of Abdul Wahab,sadhu
"Neetu said,",cholito
Take some monthly or monthly expenses,cholito
"If the renunciation ceremony was performed, the child was relinquished, but not 1*% Swamiseva is not your duty.",sadhu
No one has the right to ask why you went,sadhu
Bulbul is my nickname,cholito
Who knows why it sank,cholito
Lord will appear tomorrow night,sadhu
"52 Akajcha a nivritte, a silent, a jahatva-mid chhu chitta chirnishi je re viraje-- smileless shabshunt byoma dishahar1, loving chari ksho jage chari tara",sadhu
I can take it out” *Chanchalkumiri,sadhu
Your first task is to seal off the Euphrates River at Karbala,sadhu
Himu bhai will bring my daughter,cholito
I will not object to your words,sadhu
21 Meshakh 1888 Ekal and that time 49 Yakshanari Veen,sadhu
“To you,cholito
Hossain roared like a wounded lion without seeing his two sons,sadhu
"“Brother Asgar, Mansoor has come running to you as a dead ghost",cholito
"He stopped laughing and took the camera out of the bag and said, “You me",cholito
You 051 001 0) 5090160. Keep you away from society for a long time,cholito
"Pretending to be deaf, I look for the street",cholito
I don't want to meet Rupa,cholito
Books help us increase our knowledge.,sadhu
I do not understand that the face is covered with a burqa,cholito
I have already said that the incident of Mahavir Kasem is a major wave of sadness-Sindh,sadhu
I can't figure it out though,cholito
There is no escape from that either,sadhu
“I really needed to meet my daughter,cholito
I was leaning,cholito
I am very happy to see both of them together,sadhu
yes-no,cholito
“It's not as early as you think,cholito
” affixes the king's signature and seal,sadhu
Building science models every day boosts creativity.,cholito
"Where you see ash, blow it away, you can find precious gems.",cholito
"""Daria said, ""We are sad, we are good friends",sadhu
Do mountain limbs disappear again?,sadhu
I don't have to eat rice today,cholito
Beautiful appearance One day I saw that he was no longer coming to the store,cholito
I didn't know anyone sleeps like that during the day,cholito
Anis did not sleep,cholito
"May you always be happily ever after, and yours",cholito
Decision cannot be taken,cholito
I speak for myself,cholito
"If you don't let me go to Delhi, I will eat poison",sadhu
I forgot everything in the heat of grief and the present danger,sadhu
And returned to Mohammadpur that very night,sadhu
Part II __ VIII Chapter 6e Ganges,sadhu
I nodded yes,cholito
"Water is flowing in these eyes, this is just a trick of illusion, I don't know why",sadhu
"Will give, orphanage, help all his poor relatives",cholito
"""I don't want anything",cholito
You have no place in this house after today.,cholito
Today brought back many memories.,cholito
Why can't the son be made a great man by sending,cholito
I would get used to it,cholito
Not even trying,cholito
"He who has great power in his hands, if he is intolerant, calls it the mark of manhood to express himself.",sadhu
"Look at his example"" asked the two boys and said, ""Come brother",sadhu
He sat down in front of the temple and humbly prayed to God.,sadhu
"The driver said in a rough voice, ""Brother get down.""",cholito
"It is the arrow that inspires the treasure of life to reveal its unity in its fullness, if that fortune befalls him.",sadhu
"""Tell me why such a young girl got married",cholito
"Today I did not marry you in a suitable attire, Kasem's body-separated Shonitdhara turned white and red and completed the wedding ceremony.",sadhu
I will go on the night you decide,cholito
Today was a bright and fruitful day.,cholito
"If he had time, he would have talked",sadhu
"The lady looked at me and said, hurry up",cholito
An artist joined the poet,sadhu
“I'll leave with just one word,cholito
I promise,sadhu
"I am the curse, I am the weeping-breath in the bosom of God.",cholito
Annapoorna of our village kept her children in the family on that day and did not go to breastfeed her next son for money.,sadhu
"Crossing the head, the Tashmransi Kurisvi",sadhu
” Udipuri Piyal,sadhu
He was a special confidant of his father,sadhu
The villagers surrounded Sakhina,sadhu
Not wanting to talk,cholito
"Cut off my head first, elder brother, who will see the head of younger brother cut off?",sadhu
How nice it would have been to hear those words without knowing,cholito
I always relax,cholito
"""If it's a big donkey, why did you keep it sitting for so long?",cholito
You are at ten in the morning before two o'clock in the morning,cholito
"But get up, no more delay",sadhu
Live long Physically weak,cholito
He closed the door slowly,sadhu
Satellite images show underground missile base being built on Iranian territory.,cholito
"Bahar's anger at these words, he is like an elephant, nabchutpallabbiranji bhramaragarga, Moi, Utvalshyamallantbilgbi Alkabali mind + that Agtami- Chakjakatlanattals Alaksparshashar Bru think of mind: that Padakchutujbal Kappondesh think of; Think of it as a razor blade spinning under your underwear",sadhu
"I hear, you will be leaving tomorrow-_so today, of course, Avg will see me",sadhu
no no,cholito
"Maria said, remember the name of the house _ Chitralekha",cholito
No one is content alone,sadhu
Let me tell you at the beginning - the palm tree is not mine,cholito
"At once it was completely reddened by the blood of the heathen, but here and there it became more and more adorned with minute white spots, and that beauty was greatly reflected in the heathen.",sadhu
From where did love come in this cruel body in the soul of man,sadhu
Muslim will listen to Zainab only when he comes,sadhu
It seems that the kitchen is actually his library,cholito
was silent,cholito
Will guide me,cholito
But will Agni give it a place in his house,sadhu
8” Hirayi continued to face down more and more,sadhu
Eats dry chilies,cholito
So that men do not get,sadhu
is He was not even in a position to object The conversation was almost over,cholito
"Meanwhile, the melodious call (Azaan) was announced during the evening worship; All went to worship",sadhu
i know your name,cholito
I cannot find any reason for this sudden change,cholito
I got much more juice than the vomit,sadhu
"” m) “ piva kachiya thanane, * in case of verbs vibyat",sadhu
"Of course, the modern spelling may not last long",cholito
Now the mouth of this street is closed--I hear the cannons in the mouth,sadhu
Sit at home and pray to God for the salvation of religion and motherland,sadhu
"But since childhood, I have avoided the Inul-Master only in some games - Mastery is my title too. Sprinkle the tunes in your childhood",sadhu
You are competing in Dress Up Like Fuyu,cholito
You are here again for my advice,sadhu
Will do together at the end of the month,cholito
Seeing that sign means that he does not know the way and he does not know in which direction he is walking.,sadhu
"Calcutta Baisakh 1887 Mansi 5 Birhananda In this rhythm, I gaped at the place, I was a long Japitapam Abrashtak Nishidin hopeless expatriate Birhatpobane Anmane Udasi",sadhu
"For example, at sunrise, waves of light appear on the clouds",sadhu
"But what is Hasan's crime in that incident, Zainab himself has settled it",sadhu
"""If I didn't get involved, the marriage wouldn't have happened",cholito
"A fire can never be extinguished by words, he says quietly--however much he gets by taking on the relation of beggar-dita.",sadhu
"On the bed there are many fragrant flowers, pots and pots of perfume roses; Fragrance, Janavaprasut Tandhul Rasi",sadhu
"When that love sits down to talk, it naturally leaves you empty",sadhu
"After understanding some of Imam Hasan's sentiments, Hossain started paying special attention to his food items.",sadhu
"Earthquake Nothing big, little",cholito
That situation The face is beaming with happiness while saying _ Class SA |,cholito
“I am a sick man Sometimes I have to do this,cholito
"Your aunt said, I don't know",cholito
That Marwan is not present at the moment,sadhu
"No, I don't smoke",cholito
""" Saying this, the old woman took out another picture and handed it to the prince",sadhu
I didn't tell anyone else,cholito
101 The wheel raised in the curry sent in the ocean,sadhu
Pick them up and play,sadhu
I will not leave Asha with you,cholito
Or I was his game,cholito
It has a rhythm of its own,sadhu
“Why not?,cholito
The mind goes where it turns,sadhu
Within a moment the poison started working,sadhu
You come in a red car,cholito
The door opened with a knock,cholito
Today gave a lot.,cholito
I used to fall asleep in the middle of your story,cholito
"As I stood in front of the gate, one of the two policemen approached and very",cholito
"No, it will be twisted in various ways",cholito
"After leaving Rupnagar, they told each other in detail what had happened",sadhu
Nisha did not forget the work of Nisha,sadhu
"Cheshanayak 55 Dhahara Sadhak, Bahara country's guru, without waiting for the brave celebrity, accepting the fear of conflict and humiliation, will try to return to the country - and those who are the nose of the country, they will make the country move.",sadhu
They will not leave us easily even if we put a vassal barrier,sadhu
No physical punishment is given to women,sadhu
Life is an inseparable game of laughter and tears.,cholito
I know everything,cholito
"Honesty is the way to salvation, falsehood is a temporary victory, but it is not saved in the end.",cholito
"No, he takes time to look carefully",sadhu
Can be named,cholito
"No, it doesn't seem so",cholito
"We are his servants; But Noorabi is a disciple of Muhammad, your devotee",sadhu
Hoiban's fatal blade has been cut down on a few,sadhu
“It will never be right,cholito
There is guilt in you,cholito
You don't have Matka Punjabi,cholito
I came back,cholito
Kanj's words were all right,sadhu
I don't want to hesitate to poison the same hand with which I have fed so many delicacies.,sadhu
"To the son to whom I have written this disgrace---whom I have nothing else in the world---if I am unfaithful, may I be forever deprived of that son's vision.",sadhu
Feel free to express what you want to say,sadhu
It was like a fool then,cholito
cannot work as,cholito
"What do I do? I listen with my ears, I remember the sorrow of my heart.",sadhu
"Puranthar didn't come back - for Hirgui, should he come back now or not?",sadhu
Think of different things Some know how,cholito
"Not only will you have a big heart, you will also be intelligent",cholito
No-D710] 00151] 1192 00061 00151] 9811] 102.,cholito
The door makes so much trouble for the guest who will leave in a while,cholito
No one dared to face Hussain,sadhu
A completely understandable animal acts like a guru of many days of failure,sadhu
"It's easy to make everyone laugh, but it's hard to hide your tears.",cholito
- It will never happen,sadhu
"He narrowed his eyes and said, you",cholito
"But the human body is impure; Especially your disease, more doubt",sadhu
I want to show you the thing,cholito
"Just say the name of the city one more time, Kufar is Kufa",sadhu
this day to you,cholito
I don't even understand where I'm going,cholito
i am afraid,cholito
Gia inquired,sadhu
But he did not see any way to get out of misery,sadhu
"Fresh his tender heart is out as if in a long convergence; Apar Dhar all over] Hard Nidaya, Akakini Diraychey Vahari Madhar",sadhu
"I didn't give importance to Bhabhi's words-__-Now you say, day",cholito
your friend's,cholito
"Among the people only in that tree are Chanda, Sitaram, Gangaram, and death, Bhutalashta Sri.",sadhu
Everyone's eyes are shining,cholito
"After the dust in the market with the booty of the hare of fortune, where everyone rushes together, there he wins quickly, even if he wins.",sadhu
"In this way, he came to the predestined place with various tricks and saw that there is a cave at the bottom of the mountain",sadhu
"""Tell me why",cholito
Why are you fussing?,cholito
"I had another girl in my life, her name is Rupa",cholito
Because this girl is stuffed with dry chili,cholito
Lying on his bed,cholito
We are sitting in the bed like a hotel,cholito
Your aunt said __ and who told you to come,cholito
That life is rare today,sadhu
"Aunt said, tell the story later",cholito
"And who does not know that the world was created for the sake of his maternal grandfather; He whose name he first saw at the head of the seat of the Merciful, raising his head, is the son of the Lord Hazrat Muhammad.",sadhu
i'm sane,cholito
Everything is fake why will,cholito
I am silver again,cholito
"It is true, and from Persian history, that the royal army is often besieged and afflicted by want of food and fear of the Rajputs, but not by the king himself.",sadhu
"God bless you, open your heart to me",sadhu
Don't you know that Aesop's fable __ a goat's water,cholito
More people will gather during worship,sadhu
Very commotion,sadhu
"At first the talk of Shramnaveshi, then the vision of the shivering leak, then the dream, because of all these, the heart of Kapalkugula was filled with great fear; Doubts were rife that Nijmangal was far away",sadhu
Dependent of Azim,sadhu
* Nirsit Sarovar of Rajsingh,sadhu
The eyes of the new soldiers sent to the battlefield only want to return.,cholito
No - Chandra Himu,cholito
What did the aunt tell the manager?,cholito
The price of speech was higher due to inflation,cholito
who said,cholito
"Anis said, 'Who?",cholito
"**"" If I live in the house, I will die. Oh, my death: You break all the works of Maur. All the shame is abducted.",sadhu
"Do not lose patience when faced with danger, because that is the real test of your faith.",cholito
The motion of the universe is eternal.,sadhu
"Can, after such efforts, the land returned to the cold city, Aib11"" Akbar Shah destroyed this great machine.",sadhu
"Hearing this, the audience cheered again.",sadhu
“You don't eat,cholito
No habit of reading story books,cholito
You need treatment,cholito
I went to buy a drink,cholito
History is helpful in building the future of the nation.,sadhu
That can't be,sadhu
This normal activity of theirs seemed very unusual to you,cholito
"After that, the son's thoughts were thinking - what will happen to the son",sadhu
Ministers do not understand anything easily,cholito
I am I made telephone calls from various shops with two rupees in my pocket,cholito
Abdullah Ziyad reached Damascus after toiling day and night for the reward of Qased.,sadhu
"Mr. Mubarak Hossain remained silent for a while and said, ""I don't understand.""",cholito
Why do you need a campfire?,cholito
Muslims cannot protect their children,sadhu
But confess one thing to me first-_You will not leave me after hearing the words,sadhu
"” Nirmal said, “What I ask",sadhu
can you help me,cholito
Pona fish is available to you if you have one,cholito
i run,cholito
I will not come,cholito
"Murla said, “Don't object, but talk to people",sadhu
"At the end, he saw that it was none other than Maymuna",sadhu
Honesty is the best quality.,sadhu
146 | The ghostly episode,sadhu
no right,cholito
Sandhyasini has not yet received a storm bell __ the age is raw,sadhu
"It is also true that, by the orders of the Ajid, his troops have completely cut off our hope of peace.",sadhu
They are saying that Navakumar was killed by disease,sadhu
"He said, going to the lobby",cholito
If anyone is interested in my essay,sadhu
"""I don't know where to go",cholito
His womb is in the great-punishment of the universe,sadhu
I started taking long long legs,cholito
He was the possessor of the world-famous empire,sadhu
But can't speak,cholito
It's pointless to go all the way in daylight __ after midnight,cholito
"You will take notes, take pictures, think",cholito
"""Daria said, ""There is an astrologer sitting in this crowd",sadhu
"1327 Development of the country Write on paper, write, learn war like this, keep pen and ink close at hand",sadhu
Like a cloud I will believe your every word,cholito
i will go too,cholito
The burning of poverty is great,sadhu
I couldn't make it a matter of forever,sadhu
