sentence,type
"বাদল কয়েকবারই বলল, ভীষণ হালকা লাগছে",cholito
"মনে করিয়াছিলাম, বুঝি এ পৃথিবীর তৃতীয় খণ্ড_অষ্টাদশ পরিচ্ছেদ ১৩৫ সকল স্ুথছ্ঃখে জলাঞ্জলি দিয়াছি, কিন্ত হে দর্পহারী",sadhu
"আমি খানিকটা হকচকিয়ে গিয়ে বললাম, আমার কি ব্যাপার জানতে",cholito
” কথা শুনিয়া হোসেন মহাব্যস্ত হইলেন,sadhu
"ফুপা বললেন, আমার ঘরে এসো",cholito
এখন পর্যন্ত ঘটনাটা নিয়ে,cholito
শত পক্ষ ঝাপটিয়া বেড়াইছে দাপটিয়া ছুর্দম পব্ন,sadhu
পর কি একটা টেলিফোন করার সুযোগ পাওয়া যায় না,cholito
কপাঁল- কুগুলাঁও কীদিতে কাঁদিতে চলিলেন,sadhu
আজকের দিনটা খুব সার্থক হোক।,cholito
এ মেছের-উন্লিসাঁর মন কি প্রকাঁরে জানিবে,sadhu
"ইহার কারণ এই ধে, এ্রতকাল পরের ছারে আমরা মাথা কুটি মরিবার চচ্চা করিয়া আসিয়াছি, হদেশ- সেবার চর্চা করি নাই",sadhu
পরিধি যাহার প্রস্ততই হয় নাই সেই কেন্দ্রের প্রামাণিকতা কোথায় £ এবং যাহার মধ্যে দেশের কর্মের কোনো উদ্যোগ নাই কেবলমাত্র ছূর্বলজাতির দাবী এবং দাক্িত্রহীন পরামর্শ সে সভা দেশের রাজকর্মসভার সহযোগী হইবার আশা করিবে কোন্‌ ফত্যের এবং কোন্‌ শক্তির বলে,sadhu
করছেন এই জন্যেও খুব মজা লাগল,cholito
লজ্জায় বাঁচি না,cholito
হঠাৎ হঠাৎ যখন নারিকেল,cholito
৷ মোগলবীর মবারকের সংবাদ লইতে হইবে,sadhu
"--পুকবে পুরুষে বা জ্ত্ীলোঁকে স্ত্রীলোকে যেরূপে সাক্ষাতের অধিকার, স্ত্রী পুরুষে সাক্ষাতের উভ- য়েরই সেই কূপ উচিভ বলিয়া তীঁহাঁর বোধ ছিল; বিশেষ ব্রাঙ্ষণবেশী পুরুষ কি না তাঁছাঁতে সন্দেহ",sadhu
"“সমস্যা কিছু না, ময়লা-বাবাকে দেখতে এসেছি",cholito
তোকে খবর দিয়ে আনাই ভুল হয়েছে,cholito
"কপাঁলকুগুবার কেশরাশি ঈদৃশ আরতনশানী এবং লঘুম্বরে কথোপকথনের প্রয়োজনে উভয়ে এরূপ জন্গিকটতব্তঁ হইয়া বসিয়াছিলেন, যে লুৎফ-উন্নিসাঁর পৃষ্ঠ পর্যন্ত কপাঁল- কুগুলার কেশের অপ্্রসারণ কেছই দেখিতে পায়েন নাই",sadhu
আমরা রিকশার খোজে বড়রাস্তা পর্যন্ত চলে এলাম | রিকশা আছে তবে ওরা,cholito
"যেমন ধর, আজ তোমাকে নিতে গাড়ি আসবে না",cholito
"যিনি পৃথিবীপতি বলিয়া খ্যাত, পৃথিবীময় যাহার গৌরব ঘোধিত, যিনি সমস্ত ভারতবর্ষের ত্রাস, তিনি আজ এই অনাথা, নিঃসহাঁয় অবলার নিকট অপমানিত-_পরাস্ত",sadhu
"মদিনাবাসীরা জেয়াদের বদান্যতার 1//////. 3230০15. 0011 বিষয় পূর্বেই শুনিয়াছিলেন, নিশ্চয় সংবাদ না পাইয়া অনেকে অনেক সন্দেহ করিতেছিলেন, আজ সে সন্দেহ দূর হইল",sadhu
"আমি মনে করি যাই দুরে, তুমি রয়েছ বিশ্ব জুড়ে",sadhu
তৃতীয় পরিচ্ছেদ এশধর্য নরক দিল্লী মহানগরীর সারতৃত দিল্লীর ছূর্গ; দুর্গের সারভূত রাজপ্রাসাদমাল,sadhu
ইউক্রেনের মানুষের মধ্যে ঐক্য ও সাহসের চিত্র ফুটে উঠেছে। 💙💛,cholito
তাঁহার আপাদমস্তক পবিভ্র,sadhu
হইতে লাগিল; ভাঁলমন্দ জানিতে মাঁর কাঁছে গেলাঁম,sadhu
"লক্ষ্য থাকতে পারে ; এক, কিছু না কর1; আর-এক, মনের মতো খেলা করা",sadhu
কারণ আমি আবার মশারির ভেতর ঘুমুতে পারি না,cholito
বলেই আমি চেয়ার ছেড়ে সরে গেলাম,cholito
বরং তিন দিন না খায় থাকব,cholito
আমি প্লাস্টিকের জানি কি,cholito
সে নাশতা নিয়ে,cholito
আমি সবার,cholito
"তা৷ না ক'রে, যা করেছে, সে ত আরও ভয়ানক",sadhu
নয়ন মুদিলে প্রী মিলিবে,sadhu
” বলিয়া নির্মল জ্যোতিষীকে আরও কিছু দিয়া চলিয়া গেল,sadhu
"তা কি প্রকারে এ কাজ পারিব, বলিয়া দাও",sadhu
জোহরের নামাজের টাইম হয়ে গেছে মন্ত্রী সাহেব,cholito
দেশে নামের আকাল পড়েছে যে,cholito
"গোয়েন্দা কাজে ভয় পেলে চলে না মুসা, সাহস ধরো।",cholito
কেন সিংহলে যাইবে,sadhu
তুমি কি গান গাইতে পারো?,cholito
পৃথিবীর যাবতীয় রান্না এই তিনের পারমুটেশন এন্ড কম্বিনেশন,cholito
"কাফের, শীঘ্র যে কোন অস্ত্র হয়, আমার প্রতি নিক্ষেপ কর",sadhu
“আমি স্বপ্ন দেখেছি,cholito
"মানুষ খুবই অবাক, যখন আমি সকালের নাশতা খেলাম না",cholito
রাজপ্রাসাদমালার দারভূত অস্তঃপুর বা রঙ্মহাল,sadhu
চিকিৎসার জন্যে পাঠানো হবে এমন কথা শোনা যেতে লাগল | বাবা তাদের সেই,cholito
তুই কি ক্ষেপিয়াছিস্,sadhu
স্পাইয়ের কাজ হচ্ছে__ আপনার ক্রিয়াকর্ম লক্ষ রাখা এবং,cholito
একেবারে উড়িয়ে দেয়া যায় না,cholito
"যেন দুটি ননীর পুতুল, সোনার চাঁদ, জোড়া মাণিক",sadhu
কি জিনিস তা না খেলে বুঝবেন না,cholito
"ভদ্রলোকের চোখে সোনালী চশমা, ফ্রেঞ্চ কাট দাড়ি",cholito
"বললেন, কি ব্যাপার হিমু সাহেব",cholito
বাসায় গাদাফুল ছিল,cholito
কেন তার উপর নারাজ,cholito
সবাইকে নিয়ে সুখে শান্তিতে থাকুন।।,cholito
দ্যাট কিছু রান্নাই হয় নি,cholito
আমি চিৎকার দিয়ে অজ্ঞান,cholito
"সহমর্মিতা বোধ করবে না, কিন্তু একজন অসুস্থ মানুষ অন্য একজন অসুস্থ মানুষের",cholito
"মবাঁরক, কাঠের ছুই, দিক . ধরিল",sadhu
মিসির আলি : আমার মনে হয় জিনিসটা তুমি স্বপ্নে দেখেছ,cholito
"ফুপু বললেন, ওর সঙ্গে কথা বলিস না ইরা",cholito
"এই স্থখে ছুঃখে শোকে বেঁচে আছি দিবালোকে, নাহি চাহি হিমশাস্ত অনন্ত যামিনী",sadhu
তথা আপন মনোগত ব্যক্ত করিলেন | তোমবর মৃত্যুই তীহীর অভীষ,sadhu
“কেন রাত জাগছি জানতে চাও,cholito
আসিয়া সিহাসনের উপর বসিলেন,sadhu
খাওয়া তো পালিয়ে যাচ্ছে না,cholito
“তুমিও দেখ,cholito
আমরা রাত সাড়ে এগারোটা পর্যন্ত অপেক্ষা করলাম,cholito
সত্যি কথা বললে সন্দেহের চোখে,cholito
"তখন পুত্রের প্রাণ হরণ করিবেন কি, নিজেই পুত্রের জন্য প্রাণ দিতে প্রস্তুত",sadhu
তাছাড়া আমি মেয়েমানুষ,cholito
"আবশ্ক, তাহার জন্য বাক্যব্যয় করিলে কোনো ফল নাই; এই সব কথা ভাল করিয়া",sadhu
নির্মলের সুখ শুনিয়,sadhu
"‘নীলু, মাঝে-মাঝে আমি স্বপ্ন দেখি",cholito
"কারণ» আমি এ কথা বলিতেছি না যে, আমার মতেই সমাঁজ্গঠন করিতে হইবে",sadhu
যদি প্রী বাচিয়া থাকিত,sadhu
বোঝা না-গেলে তো কোনো সমস্যাই নেই,cholito
"” , উত্তর শুনিয়া জেব-উদ্নিসা রাগে ফুলিয়",sadhu
মাণিকলাল শুনিয়া,sadhu
ভখন অঙ্গে হাতিয়ার বাধিয়া তিনি অশ্বপৃষ্ঠে আরোহণ করিলেন,sadhu
"তুমি বানিয়ে বসলে ফুল হাতা সার্ট, ডাবল পকেট তা হবে না",cholito
পাচ্ছি বলেই আমার মন আপনাকে তৈরি করেছে,cholito
গেলেও কি আগনি ইহাকে নিজ গৃছে স্থান দিবেন,sadhu
ছানাটার বুক,cholito
"এগারোটা বাজে, এখনো নাশতা খাস নি",cholito
বল্‌ তো তুই কোন্‌ মুখে এমন কর্কশ শব্দ তাঁহাদের প্রতি ব্যবহার করিলিঃ আমার সম্মুখ হইতে দূর হ,sadhu
কোথাও যদি ছুটিতে পাই বাচিয়া যাই তবে-_- ভব্যতার গণ্ডি-মাঝে শান্তি নাহি মানি,sadhu
"বিশেষ আমিও বলিতেছি, তুমি কুফার নাম পর্যন্তও করিয়ো না",sadhu
ঠিক হচ্ছে না সেটাও বুঝতে পারছি তবু নিজেকে সামলাতে পারছি না,cholito
"নন্দা স্বীকৃত হইয়া বলিল, “এখন সভামধ্যে যাইতে হইবে, একটু কাপড় চোপড় ছরস্ত করিয়",sadhu
বিস্ময়কর ঘটনা শেষপর্যন্ত ঘটেছে,cholito
"রানু ফিসফিস করে বলল, iia রড",cholito
তোমাকে আগলে আগলে রাখবেন না | তোমার সঙ্গে যাতে কোনো৷ তরুণের,cholito
আমার মৃত্যুর নির্দিষ্ট স্থান 'দাস্ত কার্বালা* নামক মহাপ্রান্তর,sadhu
তাঁহা চাঁকিয়া রাঁখিলেক্,sadhu
”” নবকুমার চলিলেন,sadhu
আশরাফুজ্জামান সাহেবকে দেখে আমার তা-ই মনে হলো | মীরার বাবার নাম,cholito
"দুটা মাথা না, একটা মাথা",cholito
"কিন্তু শাস্ত্রে বলে নিজের মধ্যেই মুক্তির নিগুঢ় বাধা আছে, সেইগুলা আগে কর্মের দ্বারা ক্ষয় না করিলে কোনো মতেই যুক্তি নাই",sadhu
চঞ্চলের নাম করিয়া তাহাকে ডাকিয়া পাঠাইবামাত্র তিনি অন্তঃপুরে আসিলেন__কুলগুরোহিতের অবারিতদ্বার,sadhu
"গরম পানি দিয়ে ধুয়ে নিন, আমি ডাবল দাম",cholito
খাওয়ার সময় তামান্না একবার জিজ্ঞেস,cholito
আজ জেগে ছিলেন,cholito
কিন্ত সকল সময়ে কণঠ্ুনিও শুনিতে পাওয়া গেল না,sadhu
"__ আড়মোড়া ভাঙ্গে, হাই তোলে, চোখ ভলে এবং আবারো ঘুমের সুখ স্মৃতি কল্পনা",cholito
"গেল__ | সে করুণ গলায় বলল, তুমি চলে এস",cholito
“দি না হই,cholito
"” বলিয়া প্রাচীনা, রাজা মানসিংহ, রাজা বীরবল, রাজ",sadhu
তোরা তো এখনো নারায়নগঞ্জ,cholito
"ভয়াবহ অসুস্থ, রুগণ মানুষের সঙ্গে যুক্ত থেকে নিজের জীবনটাকে নষ্ট করবেন",cholito
স্বভাবত্তই এই ব্যাপারটাকে এতই উৎকট করিয়া দেবিয়াছেন ও ইহা হুঈতে এতই গুরুতর অহিতের আশঙ্কা করিতেছেন যে এখনো তীহাদের মনের ক্ষোভ দূর হইতে পারিতেছে ন,sadhu
"একে মরুভূমি, তাহাতে প্রচণ্ড আতপতাপ, বিশেষ ছায়াশূন্য প্রান্তর,-বিশ্রাম করিবার স্থান অতি বিরল, দেশীয় পথিকের পক্ষে বরং সহজ, অপরিচিত ভিন্নদেশীয় পথিকের পক্ষে এই মরুস্থানে ভ্রমণ করা নিতান্তই দুঃসাধ্য",sadhu
"«কোথায় থাকি বলতে যাচ্ছিলাম, ফুপা আমাকে থামিয়ে দিয়ে বললেন, থাক,",cholito
তেমন কিছু জানি না,cholito
"মেয়ে-ডাক্তার বললেই সবাই ভাবে দাত্রী,",cholito
"ভারি গলায় লোকটি কথা বলল, “কেউ",cholito
আমি হাতজোড় করছি__ স্বাভাবিক মানুষের মতো আচরণ কর,cholito
"“আপনি একটু আসুন, আমার স্ত্রী কেমন যেন করছে",cholito
"সকল বূপহান উপহার চরণে, ধায় গে",sadhu
"একদিন যাহা আমাদের পক্ষে নিতান্তই সহজ ছিল, তাহা কি আমাদের পক্ষে আজ একেবারেই অসাধ্য হইয়া উঠিয়াছে",sadhu
* তুনি আমি প্রাণ তাঁগ করিতে চাছি না,sadhu
জানি যদি ভালোবাস চিব-ভালোবাসা জনমে বিশ্বাস-- ৪৭ ₹শয়ের আবেগ যেথা তুমি যেতে বল সেথ,sadhu
প্রতিষ্ঠিত হইয়া উঠিয়াছিল,cholito
জগৎ মোটেই রহস্যময় না,cholito
প্রশ্নটা তেমন উদ্ভট ছিল না,cholito
আমার সুখ ছুঃখ নাই,sadhu
প্রাকৃতিক সৌন্দর্যে ভরপুর আমাদের গ্রামবাংলা।,sadhu
মেছের-উন্লিসাঁর” ভয় কি খুচিয়াছে 1” লু,sadhu
এক্ষণে সু বিষয়ের কোন চিন্তা নাই 1৮৮ পেষ্মন অভ্ন্ত আহ্বাদ প্রকাশ করিয়,sadhu
শিষ্যগণ তাঁহার তাদৃশ অবস্থা দেখিয়া নিতান্তই ভয়াকুল হইলেন,sadhu
দস্থারা আমার অঙ্গের অলঙ্কার সকল লইয়া আমাকে পাল্কিতে বান্ধিয়,sadhu
সময় নষ্ট করলাম,cholito
বাড়িকে অনায়াসে ক্যাসেল বলে চালিয়ে দেয়া যেত,cholito
সে কোন্‌ দিকে কোথায় চলিয়,sadhu
"পাই তাই তুলি, খেলাই আপন",sadhu
জ্বি না কিছু মনে করছি না,cholito
একটি সুন্দর অর্জন আমাকে সত্যিই আনন্দিত করেছে।,sadhu
"যষ্টি সহস্র লোক হোসেনের সঙ্গে কুফায় যাইতেছে, সূর্যদেব পথ দেখাইতেছেন, তরু পর্বত নির্বরিণী পথের চিহ্ন দেখাইয়া লইয়া যাইতেছে, কুফার পথ পরিচিত; কত লোক তন্মধ্যে রহিয়াছে, কত লোক সেই পথে যাইতেছে, চক্ষু বন্ধ করিয়াও তাহারা কুফা নগরে যাইতে অসমর্থ নহে",sadhu
"""ভিনি মুখ ফিরাঁইয় ঈীডাইলেন",sadhu
কখন বললে ভালো,cholito
"নিজের সম্বন্ধে আমার যেটুকু বক্তব্য ছিল, তাঁহা শেষ হইয়",sadhu
আমার প্রথম স্ত্রী গর্ভে কোনো সন্তানাদি হয় নি,cholito
". ছুই চারি এন লোক সেখানে আছে বটে, কিন্তু তাহারা কোন গোলযোগ করিতেছে না; নিঃশক",sadhu
সীতারাম জ্রকুটি করিলেন,sadhu
আজ আমার খুব পুরনো কোনো গান শুনতে ইচ্ছে করছে।,cholito
ট্রেন লেট ছিল,cholito
আমি উনার হয়ে মামা ভাকব,cholito
"যত শীঘ্র হয়, পুনরায় সৈন্য সংগ্রহ করিয়া মদিনায় প্রেরণ করুন",sadhu
শট না তো,cholito
আমার সহিত রাজ্যের আর কোন সংস্রব রহিল না,sadhu
আমি কীভাবে জানব,cholito
এর বেশি এই মুহুর্তে তোমাকে বলিতে ইচ্ছা করি না,cholito
ত এই ভাবিয়া রাজপুত সন্দেহভ্তনার্থ অতি ধীরে ধীরে গুহাদ্বারের নিকট আসিয়া ধাড়াইয়া অভ্য্তরস্থ ব্যক্তিগণের কথাবার্তা কর্ণপাত করিয়া শুনিতে লাগিলেন,sadhu
তৃতীয় খণ্ড__অষ্টাদশ পরিচ্ছেদ 5৩১ সেই বৃহৎ ছুরগপ্রাঙ্গণের মধ্যস্থলে এক উচ্চ মঞ্চ নিন্মিত হইয়াছিল,sadhu
তাঁহাত বলিতে পারি না,sadhu
” দ্বিতীয় খণ্ড ঃ চতুর্থ পরিচ্ছেদ : সংবাদবিক্রয় তু জেব,sadhu
"এখন সে ভূতের বোঝা বহিয়া দিল্লী ""গিয়া কি করিব বলিয়া দ্াও",sadhu
কতকগুদিন শুষ্ক কঠিন লতাগুঙম তথায় পূর্বেই আঁহরিত ছিল * কাঁপালিক তন্দ্রা নবকুমাঁরকে দৃঢ়তর বন্ধন করিতে আঁরস্ভ করিলেন 1 নবকুমার লাধযমত বলপ্রকাশি করিলেন,sadhu
"গভীর থির নীরে ভাপিয়া যাই ধীরে, পিক কুহুবে তীরে অমিয়মাখা | পথে আমিতে ফিরে আধার তরুশিবে সহস",sadhu
বলতে চাচ্ছি না,cholito
আমি তো মিসির আলি না যে সব কথা,cholito
"তাহার পর অয়ন্তীকে দেখিল-_উচ্ৈস্বারে চীৎকার করিয়া বলিল, “রক্ষা কর",sadhu
এপয়েন্টমেন্ট লেটারে তার নাম তো লাগবে,cholito
আপনি অপরিম্নানতেজস্থিনী হইয়া আপনার এই পুরী রক্ষা করুন,sadhu
আমি সেই দৃশ্য,cholito
"এবং হাসিমুখে বললাম, খবর ভাল",cholito
"তুমি যে পথে এগিয়ে যাচ্ছো, সেটা সঠিক পথে।",cholito
মায়সুনা কাঁদিতেছে,sadhu
আপনি দাড়িয়ে দাড়িয়ে কথা বলছেন কেন,cholito
"ফুপা বললেন, হারামজাদা দেশদরদী হয়েছে",cholito
মেছকান্দর মিয়া তার ঝুলির ভেতর কি যেন খোঁজাখুজি করছে,cholito
আর এগার জন আপনার শরীরে,sadhu
আমাদের দেশে অনেক ইতিহাস রয়েছে।,cholito
সরাসরি ডিল করি না,cholito
"আমি বললাম, এসব করছেন কেন",cholito
শিক্ষার আলো সর্বত্র ছড়াইয়া পড়িতে হইবে।,sadhu
"ছেলেটার দিকে তাকিয়ে বললাম, ভাল আছেন",cholito
"বিবাহের দিন সন্ধ্যা উত্তীর্ণ হইল--এক প্রহর রাত্রে লগ্ন, তথাপি গৃহে যাহার",sadhu
ভাঙা খেলনা আবর্জনার স্তুপে যাবে,sadhu
দিলে আমি বোধহয় আগের মত হয়ে যাব,cholito
"যেখানেই সমাজ আঁপনাঁকে খণ্ডিত কবিয়া থণ্ডটিকে আঁপনাৰ বাহিবে ফেলিতেছে, সেখানে যে কেবল নিজেকে ছোট কবিতেছে, তাগ্থা নহে-_ঘবেব পাশেই চিবস্থায়ী বিবোঁধ স্থাষ্টি কবিতেছে",sadhu
আমি উঠে দীড়ালাম,cholito
"যোধপুরী জিজ্ঞাসা করিল, “তুই নিস্‌ কেন",sadhu
এদের কোন দোষ নাই,sadhu
রাজি হলেন না,cholito
আমি বের হয়ে এলাম এবং মোটামুটি নিশ্চিত ভাবে জেনে গেলাম আমি শক্ত,cholito
"বিনাপরাধে স্ত্রীত্যাগ ঘোরতর অধর্-_অতএব আমি পিতৃ-আজ্ঞা পালন করিয়া অর্ধ করিতেছি__শীঘ্ই আমি তোমাকে এ কথা জানাইভাম, কিন্ত-_ শ্রী আবার দীড়াইয়া উঠিল",sadhu
তোমার এই উঁষধগুলি আমারে বেচিবে,sadhu
"চারি দিক্‌ হইতে ভিন্ন ভিন্ন নিজ সৈন্যদল ডাকিয়া আনিয়া, আজমীরকে নিজের হেডকোয়াটার্স করিয়া, আওরংজীব যুদ্ধ লুঠ হত্যা ও অগ্নিকাণ্ড মাড়োয়ারের উপর ঢালিরা দ্িলেন",sadhu
এর আগে কেউ কোনোদিন বলে নাই,cholito
"তাকিও না, প্রীজ",cholito
কথা বিশ্বাস করবে না- পাগল ভাববে,cholito
আমাকে অনুসন্ধান করো না,cholito
"সেই অবজ্ঞার দ্রান আমি প্রার্থনা করি নাই, আপনারাও তাহা দেন মাই",sadhu
জানি না কেন,cholito
অনীশ্বরবশদীও অদৃষ স্বীকার করিতে পাঁরেন,sadhu
"আমাদের এই নিক্রিয়-নিশ্চেষ্ট অবস্থা কেন ঘটরাছে, আমার প্রবন্ধে তাহার কারণ দেখাইয়াছি",sadhu
"শুনিয়াছি না কি, মহারাষ্ট্রে এক পার্বতীয় দন্থ্য আলম্গীরকে পরাভূত করিয়াছে_সে আলম্গীর কি রাজস্থানের রাজেন্্ের কাছে গণ্য",sadhu
"দেবী, আমিয়াছি ভিক্ষা মাগিতে, পুরাতে হইবে আশ",sadhu
"আমি কোন ফ্লেবার দেইনি ইরা, এটা তুমি কল্পনা করছ",cholito
অতানস্ত তারী হইয়াছে ইহা হইতেই বুঝা যাইতেছে ইহার মধ্যে অনেকটা অংশে মৃত্যুর মার্ক,sadhu
নিমেষতরে তাই আপনা ভুলি ব্যাকুল ছুটে যাই ছুয়ার খুলি,sadhu
মুসলমা- নীর নায় বটে,sadhu
"‘না, আমি চুপ করে থাকব না",cholito
"সে বিস্মিত হয়ে বলল, হাসপাতালে ভরাত হবেন",cholito
তুমি ভুল করছ রূপা,cholito
"নাও, টাকাটা নাও",cholito
দৌস্রা খবর রূপনগরের,sadhu
"আরেফিন সাহেব তোকে সাহেব বলা ঠিক না, আমার বলা উচিত খালু",cholito
"আমি বললাম, চকলেট কে দিয়েছে",cholito
বাজন৷ শুরু হলে বুঝবে খেলনা না,cholito
"খেলে খাও, না খেলে খেও না ওই রকম ভাব",cholito
আমি তোমার প্রণীম গ্রহণ করব না_-আঁমি তোমাকে প্রণত করব,sadhu
সামাজিক সম্প্রীতি রক্ষা করা সকলের কর্তব্য।,sadhu
শুধু দেখার জন্যে বাদল সেখানে আছে কি না,cholito
ঈশ্বরের প্রতি আস্থা রাখা মানুষের কর্তব্য।,sadhu
পুরাতনই যথেষ্ট নহে কেন,sadhu
"অফিসে চা খেলে দোষ হয় না, আর একটু-আধটু ইয়ে খেলে দোষ হয়ে গেল",cholito
আমি চিঠি পড়া শুরু করেছি,cholito
তোমায় কিছু জ্ঞান দান করিতেছি,sadhu
বিলাতিধ্ধাচের একটা সভা না বাঁনাইয়,sadhu
বাহকেরা আপনাদের. প্রাণ লইয়া ব্যতিব্যস্ত_অশ্ব সকল গাছ হটিয়া তাহাদের উপর চাপিয়া পড়িতেছে,sadhu
আপনার কথাবার্তা খুবই কনফিউজিং,cholito
"আমি বললাম, আমারও মনে হয় দেখা হবে না",cholito
"আমি বললাম, “আমরা বুকিং ডা",cholito
দেশী জিনিষের আমদানী না করে তবে. নির্দিষ্ট কালের মেয়াদ উত্বীর্ণ হইলেই বাঁজারে আগুন লাগিবে,sadhu
“মহাকবি শেক্সগীয়ার নাম প্রসঙ্গে একটা কথা বলেছিলেন - গোলাপকে তুমি যে,cholito
ঘুঘু পাখির ডাক আর শুনছি না,cholito
| আমি চলে এলাম,cholito
তাকে সুন্দর করে গুছিয়ে একটা চিঠি লিখে যাবেন,cholito
সীতারামকে উদ্ধার করিতে হইবে,sadhu
"কৌতুহলী হয়ে বললাম,কী আাড করেছেন",cholito
"নিরপরাধে পবিত্র দেহের সংহার করিবে, এ পাপ কী একটুও তাহার মনে হইতেছে না",sadhu
"দেখুন ভাই সাহেব, পৃথিবীর জমি আমরা ভাগাভাগি করে নিয়ে",cholito
কেন জানেন,cholito
সবাইকে নিয়ে সুখে থেকো।,cholito
শুনেছিলুম গাজিপুরে আছে গোলাপের ক্ষেত,sadhu
“চিড়িয়াখানায় যাবি,cholito
চারদিক অন্ধকার হয়ে গেলে আমার বুকে ধক করে ধাক্কা লাগে না,cholito
"এমরানকে কহিলেন, “ভাই এমরান",sadhu
খালু সাহেব ভাঙা গলায় স্ত্রীর সঙ্গে গল্প করছেন,cholito
আপনি ঈশ্বরের নিকট কামনা করিয়া পুত্রধন লাভ করেন নাই; আমিও পৃত্রলাভের জন্য বৃদ্ধ বয়সে ব বিদীর্ণ করিয়া শোণিতবিন্দু ঈশ্বরের উদ্দেশে উৎসর্গ করি নাই,sadhu
কিছু না বলে চা-পাউরুটি শেষ,cholito
আমার বংশমধ্যে কিংবা জাতিমধ্যে অগ্রে অস্ত্র নিক্ষেপের রীতি থাকিলে তুমি এত কথা কহিবার সময় পাইতে না,sadhu
নদীর জল বর্ষাকালে ভরিয়া উঠে।,sadhu
"লোকের বিশ্বাস আর সব যাই হৌক, লোকে মনে করে, মানুষ যা তাই থাকে",sadhu
"তাহার ফল এই হইয়াছে, বাসনার অত্যুগ্রতা দ্বারা আমরা",sadhu
"এষা কঠিন গলায় বলল, “আপনি দয়া করে বসার ঘরে বসুন",cholito
"রমাকে আপনার প্রাণের কথা বলে, গঙ্গীরামের সে সাহস হয় না-__সরলা রম",sadhu
"আমরা তর্ক করিতে ভালবাসি, অতএব এ তর্ক এখানে ওঠা অপস্তব নহে যে, সাধারণের কর্মভার সাধারণের সর্বাক্ষেই সঞ্চারিত হুইয় থাক",sadhu
"তেম্নি যদি আমরা যথার্ঘভাবে আমাদের এই বৃহৎ দেশের কাঁজ করিবার দিকে যাত্রা করি, তবে তাহারই মাহায্মে ছোট-বড় বছ্তর বিক্ষোভ আমাদিগকে স্পর্শই করিতে পাঁে না-তবে ক্ষণে ক্ষণে একএকটা রাগারাঁগির ছুত| লইয়া ছুটাছুটি করিয়া বৃথা যাত্রাভঙ্গ করিতে: প্রবৃত্তি হয় না",sadhu
"বাবা ধরতেই বললাম, আচ্ছা, এটা কি রেলওয়ে বুকিং",cholito
আমি সঙ্গে সঙ্গে উঠে এলাম এবং বাথরুমে ঢোকার আগে থমকে দাড়িয়ে,cholito
পুর্ণিমরাতে বোধহয় বিটের পুলিশ বের হয় না,cholito
আমি তো,cholito
"আমার সঙ্গে আইস-_তোঁমরা পথ জান, পথ দেখাও",sadhu
সামলাতে পারি না,cholito
কাজেই চিঠির শেষে তার নাম,cholito
আমিও না,cholito
"আমাদের যাহা-কিছু ছিল, তাঁহাঁরই মধ্যে কুঞ্চিতি হইয়া থাকিবার চেষ্টাই বিদেশী- সভ্যতার আঘাতে আমাদের অভিভূত হইবার ক্বরণ",sadhu
"ভদ্রমহিলা হাসি মুখে বললেন, “আমার ঘন ঘন চা খাবার অভ্যাস",cholito
আমার বাবা কি করে আমাকে মহাপুরুষ বানানো চেষ্টা করতে,cholito
“বেশি রাত হবার কথা না,cholito
এখন পর্যন্ত তুমি কাউকে পাওনি ষাকে পদ্ম দিতে ইচ্ছে করেছে,cholito
বলিয়া সেই শত অশ্বারোহী তাহার পশ্চাতে পর্বত আরোহণে প্রবৃত্ত হইল,sadhu
সমস্যা হচ্ছে এই জগতের কেউ কিছু চায় না,cholito
"ভিতরে ঢুকিতে সাহন করে না, সমতল স্থানে বসিয়",sadhu
"কছিলেন, “' বাপু: নবকুমাঁর",sadhu
"দরকুমারের হৃদয়াধিকাঁর করিবেন, ইস",sadhu
‘আমি তো সেদিনই তাকে দেখে এলাম,cholito
"বললাম, শার্ট খুলে ফ্যালো",cholito
অথচ আমি অনেক ঝামেলা করে,cholito
গত্রর্ধ আমার গৃহে আছে,sadhu
” প্রথম খত চতুর্থ পরিচ্ছেদ টু চা কাজি সাহেব ভাবিলেন,sadhu
এখন ইচ্ছা হচ্ছে না,cholito
কাদিস না,cholito
ভদ্রলোকের সঙ্গে অনেকদিন দেখা হয় না,cholito
বললে মেরে তক্তা বানিয়ে দেবে,cholito
আমাদের আত্মা যা স্থট্টি করছে তাতে পদে পদে ব্যথা,sadhu
রান্নাঘরে,cholito
আপনার পেটের অবস্থা কী,cholito
মনে হয় করবে,cholito
"আমি মধুর গলায় বললাম, “স্যার দুকাপ চা দিতে বলুন",cholito
"বিশেষত লোভ যখন বেশি হয়, তখন দেখিবার শক্তি আরে",sadhu
জয়নাবের বৈধব্যব্রত সাঙ্গ হইল,sadhu
"ওসি সাহেব টেলিফোন সেট আমার দিকে এগিয়ে দিয়ে বললেন, নাম্বার বলুন আমি",cholito
“আমার কাছে আনতে চাচ্ছেন কেন,cholito
"হিনুস্থানের বাদশাহ দ্য তাহার সন্ত পুত্রগণ, নামাদা উজীরগণ, এবং উচ্চ ওমরাহগণ রাজপুভদের বিরুদ্ধ যুদ্ধ করিয়া হতভঙ্ব হইয়াছে, এখনও কোন ফল লাভ করে নাই",sadhu
ঝড়ের নাম,cholito
