sentence,label,source
,cholito,Book
Never hear that again,sadhu,Book
Where do Carlisle's academics fit in today?,sadhu,Book
"I didn't say anything, but moved so he knew I was awake",cholito,Book
"He left in silence, two single drops of tears were falling from Bhahar's wide-open eyes.",sadhu,Book
"Aiming at Husain's head, he raised his sword and said, ""Your head is worth lakhs of rupees.""",sadhu,Book
,cholito,Book
,sadhu,Book
,cholito,Book
"When I got up, I saw that my hand was broken",cholito,Book
,cholito,Book
Listen to the words of my beloved chief vizier Marwan and fulfill your vow,sadhu,Book
,cholito,Book
A red tie can't cure depression,cholito,Book
"If there is any kind of excess in the description, firstly, fear of sin, secondly, out of fear of insulting the original text of Mahakavidig, I joined their description.",sadhu,Book
"I beg you, I am not worthy of it",sadhu,Book
Are you completely out of your mind?,cholito,Book
He saved Hussain from the hands of Jayad by giving his life,sadhu,Book
They fought their way out of my hands,cholito,Book
His duty is over,cholito,Book
The monster you are drawing is either a boy or a girl,cholito,Book
,sadhu,Book
"Asuras started to become more and more fierce Seventh Chapter Day Basha Meanwhile, Ananta Mishra went from Rupnagar",sadhu,Book
"Rupa, surrendering to your logic",cholito,Book
No need to change cassettes by pressing buttons by hand,cholito,Book
"The manager said, your luck is good",cholito,Book
Kasem couldn't bear to watch Sakhina's sad face as her eyes turned blue and slowly closed.,sadhu,Book
"At the end, look towards Nirmal",sadhu,Book
"| There is nothing else to do in this eternal life, only love with infinite limits, with hope, with language",sadhu,Book
Motibibi is not the name of E+Chan,sadhu,Book
You are not correct,cholito,Book
,sadhu,Book
Then everyone decided to get married,cholito,Book
"In the middle of eating, he took a whole onion and chewed it",cholito,Book
I meet you on Buriganga as if we meet for the last time,cholito,Book
"""Ali Akbar put his father's chin in his mouth and said shortly after, ""The soul became cold.",sadhu,Book
Then you must face this thing,cholito,Book
But there is more than that,sadhu,Book
The boy who didn't clearly know you and didn't know this series in the end of life that day has at least fifty years of pressure on him.,sadhu,Book
"Who, who is still, sings his song in the yearning air, Mir is still in the air, Bikach is in the flower, now will I not cry if someone comes and picks me up.",sadhu,Book
"I was a corner of the world, shy, silent and still.",sadhu,Book
I don't understand whether I can or not,cholito,Book
Because logic is not the last word,cholito,Book
,sadhu,Book
The guard said Kurdish again,sadhu,Book
I forced Imrul to stand on the floor of the rickshaw and unzipped his pants,cholito,Book
This mammal almost killed the boy,sadhu,Book
There are many empty launch blocks,cholito,Book
Still standing outside smoking a cigarette,cholito,Book
"I said in a bored voice, my name is Tutul",cholito,Book
A hurricane has just gone out,cholito,Book
,sadhu,Book
"Our king Zeyad has given a letter to Hazrat Hussain under the pretense of giving false dreams and giving false kingdoms to Hazrat Hussain of Madinah -"" The housewife said, ""We know all that.",sadhu,Book
"But if you do not have this courage, how will you protect the city from the hands of Muslims?",sadhu,Book
He understood that it has been raining since morning,cholito,Book
"You must know the answer to this question - Tell me if you want to go to Ghadi, I will show you around the world",cholito,Book
,cholito,Book
"And if they say that society should take refuge in Dhashwatar instead of Hindu scriptures, then we ask which Dhashma should be sheltered.",sadhu,Book
That seat cover has been replaced,cholito,Book
All the wild birds and insects that dwelt fearlessly in that Bijan province quickly fled away.,sadhu,Book
Immediately the police will arrest them and take them to the police station and give them bamboo sticks,cholito,Book
"I said, is your brother still giving Rafiq's advice to leave?",cholito,Book
"He also once saw the sky, the earth, the city, the sea, but nothing remained - the water of the eye was gone.",sadhu,Book
"He was saying in a deep voice, “Kapalkugule",sadhu,Book
"You go Stay there, this was his begging. He was suffering from poverty, and exile from his father's house was the most serious thing he felt.",sadhu,Book
"This discovery of ours, like all true discoverers, first came to us on a special occasion.",sadhu,Book
"Atalika, riches, slaves are not needed",sadhu,Book
,sadhu,Book
Chills cause pain,cholito,Book
"I have also seen that those who sit in the shallow waters every day, finally, they become addicted to not getting fish, but hoping, call it the addiction of selfless devotion.",sadhu,Book
He was very surprised,sadhu,Book
Akhitare will not get the light in the eyes of the soul,sadhu,Book
The essay was published in Bharti Patrika (Fandhan 1318) as “Abhibhasan*,sadhu,Book
After that I had to get up,sadhu,Book
Majeda Sangeet Bitan's agent will sleep with him,cholito,Book
Let me explain,cholito,Book
"” One of the neighbors was an elder, he began to say, “Who will not admit that the work of God is inevitable.",sadhu,Book
you keep talking,cholito,Book
,sadhu,Book
,cholito,Book
"Dom of the Paikera race, Gangaram was poisoned by their touch",sadhu,Book
"Ali Akbar bravely chased away the rivermen and thought, what should I do?",sadhu,Book
Where are you looking for?,sadhu,Book
"Inside this royal palace, in a small land, there was as much wealth, wealth, silver, and evil as there was not in the whole of India.",sadhu,Book
I don't know what will happen to my fate,cholito,Book
"He who was sitting in meditation-_When he got up, the questioner went away and sat down.",sadhu,Book
Almost like that: the gourd-hand gentleman seemed overjoyed,cholito,Book
"A calendar hangs crookedly on the wall, the pages of which have not been turned",cholito,Book
,cholito,Book
Speak loudly to someone,cholito,Book
The results of the investigation are hard to come by,cholito,Book
I want to start an ashram if I can raise money,cholito,Book
"Coming down the street, Fulfulia said, brother, I will not go home",cholito,Book
,cholito,Book
When it's so bad,sadhu,Book
,cholito,Book
,cholito,Book
,sadhu,Book
"Awami League, not BNP",cholito,Book
,cholito,Book
I could not explain this to your brother,cholito,Book
", I did not come to hear the theory of love",cholito,Book
Everyone in the mess thinks you have power,cholito,Book
"He also says-_What do you say to Porarmukhi, what am I?",sadhu,Book
"You made this rhyme right away, didn't you?",cholito,Book
,sadhu,Book
,sadhu,Book
,sadhu,Book
"He didn't tell anyone, Zaida remained at home relying on God",sadhu,Book
,sadhu,Book
"Just as I have called here for the connection of pleasure with pleasure, I have wished here to make the connection of man with quality as the connection of peace.",sadhu,Book
,cholito,Book
Stay with Neetu,cholito,Book
Muslim's body started to be pierced relentlessly from all sides; There was a sensation all over the place,sadhu,Book
,sadhu,Book
He sent urgent news,cholito,Book
I'm ashamed to say,cholito,Book
In such a place it would be impossible to preserve the rhythm unless the syllables are lengthened according to the rules of Sanskrit rhythm.,sadhu,Book
Why are you waking up with difficulty?,cholito,Book
"That is why Chirashakra, my eternal enemy has left this world",sadhu,Book
,cholito,Book
"” The daughter of the house is kind, the maids are almost like her",sadhu,Book
I entered Maria's room,cholito,Book
,sadhu,Book
One can walk till Shah Bagh Junction,cholito,Book
You will do a job,cholito,Book
,sadhu,Book
"To open the git, you have to pull the ribbon",cholito,Book
,cholito,Book
So I went ahead with a smile,cholito,Book
He came to Farmgate for another purpose,cholito,Book
Expensive things can be seen,cholito,Book
Adhi- Kari's student; He could read,sadhu,Book
Sometimes looks scary,cholito,Book
I am not a doctor,cholito,Book
He is very healthy; Great in music,sadhu,Book
T is 88 chick asit pe ev8 ti,sadhu,Book
"In our country too, plagues, droughts, and famines were once sudden, but now gradually they are unable to pay their debts, worship, our capital has been depleted, now they no longer only come to urge us from time to time, they are sitting on our land, in our houses.",sadhu,Book
I have a picture of my son,cholito,Book
""" Saying this, the women raised their hands and began to pray to God, ""Elahi",sadhu,Book
"Perhaps this is the main reason why Farida has suddenly started dressing up, wanting to dress up as a green girl in a green saree",cholito,Book
I still think the whole thing is a nightmare,cholito,Book
"Those who naturally have one organ tied up in their body and not even one drop of blood can circulate freely, but a deadly disease is born, and we are dying from that disease today.",sadhu,Book
Only one Narasimha has been killed but another lion is present,sadhu,Book
,sadhu,Book
"মা'র মুখের হাসি আরো একটুখানি ফুটিত--যদি তিনি দেখিতেন, পুরাতন বজ্তের স্যায় এই সকল আধুনিক যজ্ঞে কেবল বইপড়া লোক নয়, কেবল ঘড়িচেনধারী লোঁক নয়-_-আহৃত- নাহত আপামরসাধারণ সকলেই অবাধে এক হইয়াছে",sadhu,Book
"What is itself, is consciously, strongly, actively, completely",sadhu,Book
Shitrapade Kannabhattar Huite Banchire Aite Lakhi-Len,sadhu,Book
"As we all Bengalis gathered together on the occasion of this petition and looked back towards our homeland with great pain, all the lines of this petition became smaller and smaller.",sadhu,Book
"But since childhood, I have avoided the Inul-Master only in some games - Mastery is my title too. Sprinkle the tunes in your childhood",sadhu,Book
,cholito,Book
"I will never, ever give this pain",cholito,Book
,sadhu,Book
These symptoms appear before death,cholito,Book
,sadhu,Book
In this pair I will travel to Udaipur” Chanchal took out a jury bag.,sadhu,Book
The rule of a foreign king in a single country is also bound by the same yoga,sadhu,Book
"Hussain said, ""O benevolent brothers.""",sadhu,Book
,sadhu,Book
"As soon as he was outside the city, Moslem saw the flags of the Ajids sporting with the wind, the war music being played in a loud dirge.",sadhu,Book
"I finished eating, handed the book to him and left",cholito,Book
,sadhu,Book
Who can say what lies in the prophecy,sadhu,Book
,sadhu,Book
” The woman answered no,sadhu,Book
,cholito,Book
used to behave; Avikilta used to lick his nose and walk alone,sadhu,Book
"He said in a simple voice, the body is hot",cholito,Book
Put both hands on the lap,cholito,Book
Why just let it go?,cholito,Book
,sadhu,Book
"The stories and guduk are blown from close quarters, and the face of the south is no longer seen",sadhu,Book
,cholito,Book
I tried to tell him,cholito,Book
That time is not near,sadhu,Book
"If you know the lucky gentleman who lives in this house, you can visit this house during heavy rains",cholito,Book
"When the forehead became sweaty, they closed their eyes; He saw that the morning had come. Nmadhya Dissa is entering the spring",sadhu,Book
At the same time the glory of Islam-Rabi Mahavir Muslim covered in red robes-darkened the world and sacrificed his life with his right hand and went to heaven.,sadhu,Book
"Azrael, when I come for life-armour, I will think - eat, the belly of the clam.",cholito,Book
,sadhu,Book
Allah has arranged for his food,cholito,Book
"admitted as saying; I heard that some ghosts had a complete difference of opinion on this matter; However, the point is that the Yamuna used to run in a slightly old fashioned way, giving way to Rama; Special attention was paid to the patient's service",sadhu,Book
,sadhu,Book
"“If I die, if they kill me, who will raise my son?",sadhu,Book
Another must be cut,cholito,Book
,sadhu,Book
,sadhu,Book
"And he suddenly surprised me and said, Himu Sahib, listen",cholito,Book
But there are also such poets. Khoraki Bandovant-_ Tihar,sadhu,Book
They started their game,cholito,Book
,sadhu,Book
Fortunately at this time it was rumored that the Nawab army was coming from Murridabad.,sadhu,Book
"Dwarvan reason is being revealed, I will reveal",sadhu,Book
"The nature of the present--constraints, barriers, 0795171226901 0795171226901 Even if there are all great qualities, nothing can survive today.",sadhu,Book
Like it's no big deal,cholito,Book
Can you buy tea lights with money?,cholito,Book
Why such an impossible Chit Prasad Janmin Tanch,sadhu,Book
Once one's rule enters a place,sadhu,Book
"In the middle of the pain in the middle of the heart, in the heart of the patient, the baby is lying near the lap, I have broken the toy.",sadhu,Book
"Think of good deeds as bad, use your intellect, judge according to your thinking power, what will you see",sadhu,Book
"No matter how unrepentant he may seem at the moment, Dei Mela has a deeper meaning at his core, or he would hate you.",sadhu,Book
There is no way to know where the letter was written from,cholito,Book
” Japan mixes war with this excellence,sadhu,Book
,sadhu,Book
You are wearing a blue saree,cholito,Book
Talking about anger makes others angry,cholito,Book
But you have,cholito,Book
He soon went to the Euphrates and got down from his horse and went down into the water.,sadhu,Book
Ghe Kabiguk Kukkul Sanghar Kalpan,sadhu,Book
Jochana can be seen sitting on the roof,cholito,Book
No boy or girl forgets Manrock's roll number,cholito,Book
He didn't expect me to say that,cholito,Book
"A law-call rollover may raise our hopes, but what police encounters mean, first-hand experience isn't always the case for undercover gentlemen.",sadhu,Book
"Our country has always been swamp-country--wooded rather more formerly than it is now, and there has never been a lack of mosquitoes.",sadhu,Book
This condition is the true condition of childhood,sadhu,Book
I am giving the address,cholito,Book
I removed the curtain like a familiar person,cholito,Book
,sadhu,Book
"Of course, it could be a trick of his",cholito,Book
"Although Rajputs are more popular, they are not so well known in this country",sadhu,Book
My good name is Himalaya,cholito,Book
Can see hands very well,cholito,Book
Nothing happened even with threats and beatings,sadhu,Book
,sadhu,Book
By and by Kasem grows dull;-sees darkness on all sides in the sound stream,sadhu,Book
,sadhu,Book
,cholito,Book
,cholito,Book
Send him to me,cholito,Book
,sadhu,Book
Then tell me how you are,cholito,Book
He stood up normally again,cholito,Book
Will it not end?,sadhu,Book
,sadhu,Book
,cholito,Book
Most alms are received in the last week of the month,cholito,Book
"Dasthya said, “Maharaj",sadhu,Book
The Amatyas and the chief dignitaries of Purvahrita city filled their respective places and greeted the decor of the court.,sadhu,Book
Ira looks with intense eyes,cholito,Book
He sat up from half sleep,cholito,Book
At dawn the ancient breath fled,sadhu,Book
,sadhu,Book
She is the only woman who sees a ghost sitting inside the mosquito net of her bedroom,cholito,Book
Never the one who has little acquaintance with you,cholito,Book
Mitu and I are going down the stairs,cholito,Book
,cholito,Book
Do not say anything about any decision of the party,cholito,Book
"The woman said, ""Kapalkugul.""",sadhu,Book
"When he saw me, he smiled and sat down on the other side",cholito,Book
"Just woke up, still can't sleep",cholito,Book
,cholito,Book
The headlight of that car was broken,cholito,Book
,sadhu,Book
"It is raining, we are sitting on the pipe and watching the rain",cholito,Book
"And entering into the astahpur, rose to the double: he showed him an ax, and said, Enter into it.",sadhu,Book
"And evil, the solution of this bitter conflict he seeks-_ Then the bitter he avoids, the death he fills not.",sadhu,Book
,cholito,Book
"The gentleman said in a serious voice, ""Good.""",cholito,Book
Your aunt wants to take him to Kolkata,cholito,Book
,sadhu,Book
Mr. Asadullah lit another cigarette,cholito,Book
We will sometimes call it mummy,sadhu,Book
I wrote a letter to my uncle,cholito,Book
,cholito,Book
"In the end, it was realized that Zayedar was in danger when he went to the house, he was in unbearable pain",sadhu,Book
A bottle of whiskey has been opened,cholito,Book
,cholito,Book
This Chumas is for six months,sadhu,Book
There is no cooking in the house for seven days,cholito,Book
"I said, don't look for marriage",cholito,Book
Chandra started to forget such a Muslim,sadhu,Book
He comes home wiping his eyes,cholito,Book
Who will save from the advancing heat of those thousands of sun rays?,sadhu,Book
"The earthen lamp whose light is extinguished again and again, that lamp is hidden behind his house",sadhu,Book
Mr. Khalu prevented the problem,cholito,Book
,cholito,Book
What is better than living by begging?,cholito,Book
,sadhu,Book
"What I have said, it is a lie to judge him too harshly",sadhu,Book
Get news by Murler,sadhu,Book
Lest the bill of the house of Saheb is paid,sadhu,Book
,sadhu,Book
He wiped his face with a towel,cholito,Book
,cholito,Book
He gave me hints like that,cholito,Book
A girl with a very playful nature,cholito,Book
Be busy with something,cholito,Book
,sadhu,Book
I have seen a lot of Himu in my country,cholito,Book
"""Then Rajasingha turned to his relatives with a lion's grin and said, ""Rajputras are unfit for war.",sadhu,Book
,cholito,Book
Called your name several times,cholito,Book
Don't count on josh these days,cholito,Book
There is another thing in girls' letters - sadness,cholito,Book
,cholito,Book
,sadhu,Book
Father and son are eating,cholito,Book
You have survived as the majority,cholito,Book
Come and see once in a day or two,cholito,Book
"I said, is there no rice?",cholito,Book
,cholito,Book
,cholito,Book
,sadhu,Book
Sitaram then 'walked towards Shyampur at full speed,sadhu,Book
,sadhu,Book
.India- bringing troops and goods,sadhu,Book
Is it okay to just rely on hope?,cholito,Book
"Fall in love with a boy, then secretly marry him",cholito,Book
,cholito,Book
I am sitting on the rickshaw seat,cholito,Book
"“What makes you think that,” asked Hares",sadhu,Book
Badal is caught in a stutter,cholito,Book
The two calendars hanging on the wall suddenly became pegulam and started swinging,cholito,Book
The conversation with Fupura is stopped for two days out of seven days,cholito,Book
Don't find room for jokes,cholito,Book
The gentleman himself lit a cigarette with a lighter,cholito,Book
It can often seem like a bad habit,sadhu,Book
". Nanda said to Jayasthi, “Mother",sadhu,Book
In the part of the subconscious mind where the father was sitting,cholito,Book
Tamanna took out a one hundred rupee note in a counting gesture,cholito,Book
"But if you can follow the feet of a saintly man, the sin of the path of salvation in the afterlife will be removed and the gate of heaven will be clear.",sadhu,Book
"If there is no opportunity to attack en route, the advance will block the east bank of the Euphrates by going to a very specific point.",sadhu,Book
,sadhu,Book
Humans have lived for so long that they belong to the past,sadhu,Book
She wants to shout out the word of beauty to everyone,cholito,Book
"Don't look at me, please",cholito,Book
Shia went to Homkari,sadhu,Book
,sadhu,Book
"Once you enter the supernatural world of Jochana, it is never possible to return to the mundane world.",cholito,Book
"It's not a big deal, it's a big deal right now that you owe me",cholito,Book
"As Surahi, so shall it be; As the seal will remain, the color of the water will not change, no one can doubt it.",sadhu,Book
I came to see you sir,cholito,Book
,sadhu,Book
"Roast chicken, dopeja, jalfries",cholito,Book
Show me how good you were,cholito,Book
Maniklal is a petty commander in intellect,sadhu,Book
Muslima - Neer Nai Bate,sadhu,Book
,cholito,Book
It takes an environment to get confused,cholito,Book
,sadhu,Book
,cholito,Book
,cholito,Book
Two small children at home,cholito,Book
,cholito,Book
Close the door and slam hard,cholito,Book
But I told you as a compliment,cholito,Book
On this bank of the river there is a huge shady tree,cholito,Book
If Bathartha is strong minded,sadhu,Book
Say something without understanding,cholito,Book
,cholito,Book
An edited transcript of Bbindranath's speech at Shastiniketan on his seventh birthday was printed as the fourth volume of this volume.,sadhu,Book
He will not object,sadhu,Book
Shame on the locality,sadhu,Book
Kebab House has good kebabs,cholito,Book
", there is some truth in self-views, too",cholito,Book
Moments in history in literature,sadhu,Book
"Taking out the stone and iron from the cave, he lit the unproductive pyre",sadhu,Book
"We have not been able to understand so clearly before that when did the Bengali come so close to the Bengali, when did the cord of blood bind all the parts of Bengal in a single spirit.",sadhu,Book
I have brought a letter,sadhu,Book
I entered an alley,cholito,Book
,cholito,Book
You have caused a big problem,cholito,Book
I saw Ejid coming fast with a bow in a brave suit,sadhu,Book
Expressing that fear,sadhu,Book
,cholito,Book
,sadhu,Book
,cholito,Book
I will get up by the ear,cholito,Book
"Able to worship publicly, but always happy to seek leisure and opportunity to fulfill eternal desires.",sadhu,Book
"Today, Asanamruti is seen He is cheerful",sadhu,Book
,cholito,Book
Kapalkugun 1 took leave of Lungf-unsina and went home,sadhu,Book
,cholito,Book
,cholito,Book
"Seeing Zainab for the first time, - after that expressing affection towards his father, - after that, Mabi's anger, - after receiving reassurance, - Abdul Jabbar's invitation Kalpita's marriage proposal, - Abdul Jabbar's abandonment of Zainab in lust for money, sending Kased for marriage, - Abandoning Kased in failure, - advice of the tormented father, first killing himself at the hands of Kased, Imprisonment of Moslem by stratagem,-Death of father, execution of innocent Moslem, declaration of war with Hasan, new ministry after defeat in battle,-death of Hasan with Maymuna and Zayda, devotion of Marwan,-arrival of Zayda and Maymuna to Damascus, placement in Paradise.",sadhu,Book
,sadhu,Book
It is the stain of English black ink,sadhu,Book
Kiydru walked and saw a mud-covered cave in front of him.,sadhu,Book
Income group and breakfast profile,cholito,Book
,sadhu,Book
"After three years, they had a daughter",cholito,Book
"Kazi Sahib asked, “How, Roy Sahib",sadhu,Book
,sadhu,Book
No one has the strength to cry out loud,sadhu,Book
Muhib sahib brought six bottles in a polythene bag,cholito,Book
,sadhu,Book
"It sounds tempting, but I wouldn't advise anyone to spend capital on that paper boat business.",sadhu,Book
"As I am, I know all the news about Rama and Murla",sadhu,Book
Fupa roared angrily,cholito,Book
"There is no rhythm to the poem unless the three dimensions are counted in these few words, 'shvachchan' and 'idhve'.",sadhu,Book
Biranga nahi means,sadhu,Book
Samba was then only given occasional puthi boudre and curled up at home.,sadhu,Book
Gulin also opened the ornaments of the organ,sadhu,Book
"Gratah has hit the poet's heart many times, the indescribable, if the poet's poetry finds expression in the world, what is unique in the world comes to the poet's face every day.",sadhu,Book
You don't have a proverb in Bengal - an empty cow is better than a bad cow,cholito,Book
So he was discouraged,sadhu,Book
"103 I had in my mind the design of the living whole, I sought to keep the intellect in him by honoring it.",sadhu,Book
Oilruth under his head,cholito,Book
"Sixth Chapter After the end of Samidha Sangraha, Gurangazeb, Zeb-Udlisa and Nirmal Kumari] inspected in Radmahal, who allowed it to come to Antapur.",sadhu,Book
"If you know, the government will seize it and take it away",cholito,Book
"Himu, can't find it",cholito,Book
They will not leave us easily even if we put a vassal barrier,sadhu,Book
He asked me the question,cholito,Book
,cholito,Book
"I am the husband, I am the king, and I am the benefactor, so you cannot go unless I let you go",sadhu,Book
Doctor Kabiraj showed me everything,cholito,Book
I am trying to make the sun shine,cholito,Book
"Buying meat, no one can buy Khasir meat",cholito,Book
,cholito,Book
"Navkumar's speech reached Prasvrithi's ears, then such a cry arose in the city, which did not stop for several days.",sadhu,Book
,cholito,Book
"On the day when news of Hasan-Hossein's death comes to this city, know that Ejid will be resurrected and sit with the open doors of the Damascus-treasury open.",sadhu,Book
Miss Ali hesitated for a few moments,cholito,Book
"Asha said, you are alone",cholito,Book
"If you want to see it, do ablution",cholito,Book
,sadhu,Book
Tie me up with a rope for now,cholito,Book
Neither stiff nor thin,cholito,Book
Hands and feet should not be able to move,cholito,Book
The girl does not want to eat syrup,cholito,Book
"7 Good morning, this is how I share life like angra and walk.",sadhu,Book
"Mr. OC said, you know",cholito,Book
There are no false cases,cholito,Book
He also brought me a drink by hand,cholito,Book
"Not only humans, animals are also getting very excited about it",cholito,Book
"I see today, you will see about my friend's job",cholito,Book
Murla took Gangaram and entered the inner city,sadhu,Book
,cholito,Book
"If you bargain, you will agree to seven taka",cholito,Book
Neelu filled her mouth and vomited in a fit of rage,cholito,Book
Was meditating--Nava-Kumar was not seen first,sadhu,Book
,sadhu,Book
,cholito,Book
You will change the house by giving me the address,cholito,Book
A new enthusiasm arose between the master and the disciples,cholito,Book
"Realizing this, he was so overwhelmed that he was thinking only of Asmurnimthdan Hari.",sadhu,Book
Who hinders Muslims?,sadhu,Book
,sadhu,Book
"Gangaram asked, “Who are you?",sadhu,Book
I did not understand whether the gentleman was hurt by my words,cholito,Book
Indian women,sadhu,Book
Can't say for sure,cholito,Book
I will be very sorry for your anger,sadhu,Book
"On the other hand, the crisis of truth occurred 18 in a moment",sadhu,Book
In two and four days everyone knew that Imam Hasan did not want to see Zayda,sadhu,Book
The sound recordist gave the OK signal,cholito,Book
,cholito,Book
,sadhu,Book
Dripshikhasam cup scared love,sadhu,Book
,cholito,Book
I just said that the believers in danger are Muslims,cholito,Book
This is my situation,cholito,Book
"Saying this to his wife, Hasan started chanting God's name",sadhu,Book
"Turn this thought back to the good side, what will you see?",sadhu,Book
", my fever was cured--but father developed pneumonia",cholito,Book
"When the song comes together, it ends; But hey",sadhu,Book
But don't be around annoying people,cholito,Book
The reason for which God has created me is only He knows,sadhu,Book
It wouldn't feel bad if it didn't happen in front of my eyes,cholito,Book
"Even if you don't understand my language, you should be able to understand the modest part of the tone of voice",cholito,Book
Something to subdue Bhu Ya. was spent,sadhu,Book
"He saw, after a while, her",sadhu,Book
,sadhu,Book
,sadhu,Book
"But if you add a couple of things to this, it would be more difficult",cholito,Book
"” Chapter XII “I will come to see you when I come,” said Nanda Rama assuring him.",sadhu,Book
Chanchal Kumari died,sadhu,Book
Neelu did not reply,cholito,Book
Your husband is not human,cholito,Book
Someone once said that those who eat and drink gaza all the time lose their appetite,cholito,Book
I bring the telephone to Rinki's room,cholito,Book
"I am a forest dweller, we face many dangers in the forest",sadhu,Book
"If he knew how to make a shul, father himself would have called a carpenter to make a shul",cholito,Book
"If you read it, it's over",cholito,Book
Get up after showering and shave your beard,cholito,Book
"Mr. Bhaktar said, the situation is not good",cholito,Book
"” In this gathering, Adhomukhi Jayanti entered the ear of ornamentation",sadhu,Book
"The doorman hesitated and said, Sir, my name is Kalam",cholito,Book
I am not a school going girl,cholito,Book
The police kicked me in the stomach,cholito,Book
,sadhu,Book
The smell is coming,cholito,Book
"” Saying this, the man shot an arrow aimed at Hussain's chest",sadhu,Book
Business is getting better mashallah,cholito,Book
"If you don't take me, what will the king say?",sadhu,Book
Giving the news that Asha is leaving on Saturday,cholito,Book
I can change the place,cholito,Book
"Give the address, eat breakfast and leave",cholito,Book
It will rain from tomorrow morning,cholito,Book
"The girl should be at this moment in the bedroom of a high-walled, ancient two-story house",cholito,Book
"It was he who said to the maternal grandfather, ""Come, Mohammad.""",sadhu,Book
"If you knew, you wouldn't have said it",cholito,Book
,sadhu,Book
Prana is oral in thirst,sadhu,Book
,sadhu,Book
"Well, who can hold back",sadhu,Book
,cholito,Book
,cholito,Book
,sadhu,Book
"As Bhramara is in Kamalshayana, Saubarvasdana, Kare",sadhu,Book
A wonderful family of husband and wife and a daughter,cholito,Book
,sadhu,Book
,cholito,Book
For a few days Zainab also shed tears and slandered Sapatri,sadhu,Book
Don't float me in the hungry sea,sadhu,Book
,sadhu,Book
45 Annapurna of the village used to keep the children of Nijh pregnant and not go to breastfeed the next son for the sake of money.,sadhu,Book
Am I the magician Jewel Aich?,cholito,Book
,sadhu,Book
"Listen, why did you start telling lies at this age?",cholito,Book
8 Chandal did not raise his cane,sadhu,Book
"""Actually, Kapalkugula had come too close to the orb to hear the conversation better.",sadhu,Book
I saw a picture a long time ago,cholito,Book
Only you and I have come forever,sadhu,Book
Killing people doesn't matter to him,cholito,Book
,cholito,Book
Ghadashbaraya Balik,sadhu,Book
In six months the beard will be very large,cholito,Book
Sweet vacation breaks the vast water in the arm wound,sadhu,Book
Maniklal explained Chanchalkumari's letter to them in detail. gave,sadhu,Book
,cholito,Book
"Telling you, Vidya will leave",cholito,Book
I don't want to hear the word no,cholito,Book
You have passed the test,sadhu,Book
"Meanwhile, Hazrat Rasool Maqbool, addressing our Father God, said, 'Muslim",sadhu,Book
Why I assume the Jacob man will be poor,cholito,Book
", scared of ghosts",cholito,Book
"Needless to say, Rama's annoying behavior made Sitaram angry",sadhu,Book
"So without saying anything, they spent that night sleeping on the edge of the cave",sadhu,Book
"No, you are not a girl",sadhu,Book
Where the face on the pillow,sadhu,Book
Sankiranasarir1 was about to come; So the boats of Bahudan could not come to all Arunnagari areas,sadhu,Book
People don't like to be worshiped - people like to be worshiped,cholito,Book
I told the matter of Mr. Mubarak Hossain,cholito,Book
Letter like this 8 people_-You are the top of the Rajput clan--Hindus Shirodushan,sadhu,Book
He is a very important person,cholito,Book
I guess the words you don't want to say now,cholito,Book
,sadhu,Book
"Ranu said softly, have you spoken to this man",cholito,Book
,cholito,Book
"Ranu said, Bilu is crying",cholito,Book
I saw a man standing barefoot,cholito,Book
"For this reason, there is a rule to stay indoors during this time",cholito,Book
All the Rajputs are coming together,sadhu,Book
A maid dabs oil on the roots of her hair,cholito,Book
,cholito,Book
I want to sleep comfortably,cholito,Book
Now he is a bit busy,cholito,Book
” Yavni Nayantara is more bisfarriv wheel,sadhu,Book
,cholito,Book
"And your capital will be the abode of jackals” Vikram Solanki after this terrible curse wrote in a blurb, “If ever I find reason to consider you a suitable par, I will willingly grant you a daughter” -.. Chanchalkumari's mother",sadhu,Book
"So I said with joy, what's up Badrul Sahib",cholito,Book
I'm glad to see you,cholito,Book
,sadhu,Book
,cholito,Book
"When I got into the rickshaw, there was a destination",cholito,Book
,cholito,Book
Ajid's love is not that kind of love,sadhu,Book
Who is a hero like him in the world,sadhu,Book
"Jatajutbilamthini, gairikadharigi, jyotirdayi mti, met by lions armed with swords, tridents in hand, aiming at Gangaram with the trident, crossing the hall towards him with great vigor.",sadhu,Book
Madinah passengers may not be able to get such facilities,sadhu,Book
,sadhu,Book
(1) King of Persia,sadhu,Book
,sadhu,Book
"He hesitated for a while and said, you think my uncle is bad",cholito,Book
No one wants to go first to do good; He keeps running with his loins girded to do evil,sadhu,Book
,sadhu,Book
,sadhu,Book
” But it is very difficult to master the argumentative argument,sadhu,Book
I have written in sign language,cholito,Book
Yakub Ali Sahib is probably tired of talking for so long,cholito,Book
"And all those who had carved these stone statues--these divinely illuminated temples, all-building, the mortal union of men with men, those who had built them,",sadhu,Book
"The master of death is a person who is going to die, he has killed him",sadhu,Book
I married young,cholito,Book
I came down with a smile on my face,cholito,Book
What does he care about my old age?,cholito,Book
,cholito,Book
Their faces are covered with thin silk handkerchiefs,cholito,Book
"You talk, I'm listening",cholito,Book
Are you hungry?,cholito,Book
I walked with the manager,cholito,Book
"Shama Man"" or Nashyam-Sandar"" is not the dark color in the uddhacharan of Shyamvarpa) the dark color of Tapta Kanchan is the dark color.",sadhu,Book
,cholito,Book
You can move if you want,cholito,Book
